name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
West Footscray,11450,205410163,Q7985168,"en:West Footscray, Victoria",,3826958.056,382.6958056,9451.451315
Laverton,4915,205409979,Q6502627,"en:Laverton, Victoria",,3829952.913,382.9952913,10452.11034
Williams Landing,6646,209747025,Q8021059,en:Williams Landing,,3836571.698,383.6571698,7973.472114
Gladstone Park,8329,205410168,Q5566343,"en:Gladstone Park, Victoria",,3837822.494,383.7822494,8496.822767
Ascot Vale,13475,205410160,Q723342,"en:Ascot Vale, Victoria",,3842352.759,384.2352759,11698.61764
Montmorency,8759,205410162,Q6906086,"en:Montmorency, Victoria",,3878030.626,387.8030626,10574.95275
Kew East,6635,205410149,Q6397892,"en:Kew East, Victoria",,3902632.788,390.2632788,10894.7912
Box Hill North,11874,205410156,Q4951534,"en:Box Hill North, Victoria",,3978039.486,397.8039486,8562.709752
The Patch,1065,205410166,Q7756315,"en:The Patch, Victoria",,3978411.315,397.8411315,11233.97165
Croydon North,7860,205410153,Q5189682,"en:Croydon North, Victoria",,4005797.733,400.5797733,8930.054074
Fieldstone,,425658405,Q28942245,"en:Fieldstone, Victoria",,4011238.456,401.1238456,8947.407497
Parkville,7409,205410145,Q3427921,"en:Parkville, Victoria",,4028446.821,402.8446821,8939.375407
Eltham North,6805,205410146,Q5367801,"en:Eltham North, Victoria",,4068280.994,406.8280994,11072.08511
Forest Hill,10626,205410147,Q5468920,"en:Forest Hill, Victoria",,4070949.931,407.0949931,11239.64169
Lynbrook,6772,205410143,Q6708388,"en:Lynbrook, Victoria",,4107525.704,410.7525704,11458.78858
Guys Hill,382,205410173,Q5622866,"en:Guys Hill, Victoria",,4118764.06,411.876406,12527.83187
Doveton,9358,205410141,Q5302556,"en:Doveton, Victoria",,4131072.837,413.1072837,11913.97805
Somers,1667,205409713,Q3489802,"en:Somers, Victoria",,4146399.821,414.6399821,12146.46762
Caulfield North,15269,205410138,Q2943098,"en:Caulfield North, Victoria",,4203038.952,420.3038952,8699.213331
Hampton,13391,205410134,Q5646144,"en:Hampton, Victoria",,4228483.308,422.8483308,9764.349507
Patterson Lakes,7564,205410130,Q7148453,"en:Patterson Lakes, Victoria",,4232917.183,423.2917183,10878.77234
Burwood East,10273,205410131,Q5001058,"en:Burwood East, Victoria",,4255920.286,425.5920286,9794.095911
Toorak,12871,205410128,Q2443083,"en:Toorak, Victoria",,4288064.708,428.8064708,9557.819148
Braybrook,8180,205410123,Q1854516,"en:Braybrook, Victoria",,4323996.602,432.3996602,9720.404189
Moonee Ponds,14250,205410122,Q1586921,"en:Moonee Ponds, Victoria",,4347122.318,434.7122318,10726.54237
Balwyn,13312,205410069,Q4853147,"en:Balwyn, Victoria",,4372558.167,437.2558167,13102.15634
Mordialloc,8166,205410121,Q1947451,"en:Mordialloc, Victoria",,4399590.972,439.9590972,10202.42591
Cairnlea,9657,205410115,Q5017696,"en:Cairnlea, Victoria",,4403872.9,440.38729,10119.7554
Surrey Hills,13605,205410120,Q7646816,"en:Surrey Hills, Victoria",,4425984.841,442.5984841,11017.08252
Richmond,27705,205410117,Q1012076,"en:Richmond, Victoria",,4467465.745,446.7465745,9929.946582
Heathmont,9688,205410119,Q5694307,"en:Heathmont, Victoria",,4482739.054,448.2739054,10569.21702
Mentone,12726,205410118,Q14935220,"en:Mentone, Victoria",,4529033.137,452.9033137,12247.7097
Warrandyte South,671,205410125,Q7969933,"en:Warrandyte South, Victoria",,4530300.345,453.0300345,13003.44939
Springvale South,12768,205410112,Q640131,"en:Springvale South, Victoria",,4558161.621,455.8161621,10522.31368
Cape Schanck,446,205409149,Q5035040,en:Cape Schanck,,4564128.339,456.4128339,9404.827298
Lysterfield South,957,205410109,Q6710294,"en:Lysterfield South, Victoria",,4581413.742,458.1413742,10446.37092
Taylors Hill,14921,205410111,Q7690243,"en:Taylors Hill, Victoria",,4586743.248,458.6743248,8724.951968
Viewbank,6923,205410105,Q7928784,"en:Viewbank, Victoria",,4604700.723,460.4700723,11541.77232
Moorabbin,5895,205410107,Q6908064,"en:Moorabbin, Victoria",,4610085.479,461.0085479,10143.90524
Vermont,10442,205410108,Q7921664,"en:Vermont, Victoria",,4613367.801,461.3367801,9839.893587
Meadow Heights,14843,205410098,Q6803241,"en:Meadow Heights, Victoria",,4636276.732,463.6276732,8694.1296
Bentleigh,14920,205410100,Q4890439,"en:Bentleigh, Victoria",,4669695.889,466.9695889,9810.408901
Sunshine,9768,205410101,Q7641406,"en:Sunshine, Victoria",,4733106.957,473.3106957,13717.65406
Coburg North,7601,205410093,Q1104802,"en:Coburg North, Victoria",,4801582.878,480.1582878,10248.12575
Ringwood East,10265,205410103,Q7335020,"en:Ringwood East, Victoria",,4910124.088,491.0124088,11086.56651
Pascoe Vale,17051,205410091,Q7141839,"en:Pascoe Vale, Victoria",,4910661.424,491.0661424,12360.26195
Macleod,9769,205410110,Q6724673,"en:Macleod, Victoria",,4941024.65,494.102465,13293.80036
Mount Dandenong,1251,205409946,Q3321799,"en:Mount Dandenong, Victoria",,4969539.135,496.9539135,12480.85799
Footscray,16345,205410085,Q5466574,"en:Footscray, Victoria",,4970766.694,497.0766694,11600.93171
Brunswick,24473,205410088,Q994135,"en:Brunswick, Victoria",,4977906.494,497.7906494,10653.94731
Westmeadows,5848,205410094,Q12072769,"en:Westmeadows, Victoria",,5010332.259,501.0332259,15172.73233
Keilor Downs,9995,205410099,Q6383741,"en:Keilor Downs, Victoria",,5018001.707,501.8001707,10094.00702
Weir Views,,425641783,Q28942253,"en:Weir Views, Victoria",,5031843.397,503.1843397,14268.51571
Attwood,3419,205410086,Q758264,"en:Attwood, Victoria",,5068597.211,506.8597211,11819.36088
Nunawading,11876,205410082,Q7069760,"en:Nunawading, Victoria",,5072463.313,507.2463313,12155.00051
Fawkner,14043,205410064,Q14935141,"en:Fawkner, Victoria",,5102125.192,510.2125192,11358.1999
Frankston North,5762,205410077,Q5492269,"en:Frankston North, Victoria",,5113625.778,511.3625778,12075.27877
Beaumaris,13349,205410078,Q813411,"en:Beaumaris, Victoria",,5128026.821,512.8026821,10309.04727
Newport,12916,205410073,Q14935251,"en:Newport, Victoria",,5174109.286,517.4109286,15043.13046
Ferny Creek,1518,205410114,Q5445165,"en:Ferny Creek, Victoria",,5226246.933,522.6246933,12583.83787
Thornbury,18568,205410074,Q12006208,"en:Thornbury, Victoria",,5294872.481,529.4872481,13468.91668
Ringwood North,9832,205410068,Q7335023,"en:Ringwood North, Victoria",,5321163.723,532.1163723,13697.10908
Tremont,77,205410054,Q7838135,"en:Tremont, Victoria",,5334611.449,533.4611449,13309.75652
Somerton,0,205410062,Q7559943,"en:Somerton, Victoria",,5394421.638,539.4421638,11274.28662
Avondale Heights,10990,205410060,Q791305,"en:Avondale Heights, Victoria",,5404574.41,540.457441,11547.82597
Melton South,11517,205409184,Q12061667,"en:Melton South, Victoria",,5409968.076,540.9968076,12666.47817
Capel Sound,,205410061,Q7368107,"en:Capel Sound, Victoria",,5429713.458,542.9713458,10536.92345
Brooklyn,1856,205410052,Q4974725,"en:Brooklyn, Victoria",,5477424.19,547.742419,10797.93236
Maribyrnong,10165,205410051,Q6762533,"en:Maribyrnong, Victoria",,5489383.392,548.9383392,12817.12814
Ivanhoe,12171,205410081,Q3156237,"en:Ivanhoe, Victoria",,5557778.578,555.7778578,16574.89457
Williamstown,13969,205410046,Q1012058,"en:Williamstown, Victoria",,5587472.631,558.7472631,16742.07908
McCrae,2823,205410132,Q6800675,"en:McCrae, Victoria",,5610099.318,561.0099318,14210.17749
Keilor,5759,205409845,Q1638235,"en:Keilor, Victoria",,5634384.559,563.4384559,17256.91723
Yarraville,13747,205410047,Q8049542,"en:Yarraville, Victoria",,5639093.997,563.9093997,12185.71577
Brighton East,15998,205410043,Q4967635,"en:Brighton East, Victoria",,5671716.549,567.1716549,12165.56613
Knoxfield,7462,205410050,Q6423635,"en:Knoxfield, Victoria",,5692558.708,569.2558708,12820.54578
The Basin,4416,205410075,Q7715767,"en:The Basin, Victoria",,5717984.529,571.7984529,13959.40953
Northcote,22920,205410030,Q7057754,"en:Northcote, Victoria",,5850961.402,585.0961402,10953.22623
Hawthorn,23511,205410035,Q5685475,"en:Hawthorn, Victoria",,5892197.746,589.2197746,13710.63734
Blackburn,13940,205410036,Q880723,"en:Blackburn, Victoria",,5895723.732,589.5723732,10445.27088
Templestowe Lower,,205410034,Q7698813,,suburb,5910747.635,591.0747635,13314.67122
Safety Beach,4821,205410029,Q7398603,"en:Safety Beach, Victoria",,6014102.961,601.4102961,12095.88458
Burwood,15019,205410028,Q5001054,"en:Burwood, Victoria",,6033503.397,603.3503397,12933.91159
Blind Bight,1251,205410027,Q4926517,"en:Blind Bight, Victoria",,6103853.819,610.3853819,15496.13598
Essendon,18852,205410024,Q1368694,"en:Essendon, Victoria",,6153538.387,615.3538387,14942.80046
Vermont South,11678,205410022,Q7921770,"en:Vermont South, Victoria",,6186265.947,618.6265947,12826.5323
Blairgowrie,2313,205410020,Q4924208,"en:Blairgowrie, Victoria",,6274048.673,627.4048673,12205.59561
Melbourne City,93625,205410007,Q6811747,en:Melbourne City Centre,,6477735.911,647.7735911,20412.97283
Bulleen,10873,205410009,Q4996743,"en:Bulleen, Victoria",,6514383.074,651.4383074,16754.63664
Crib Point,3183,205410008,Q5184872,"en:Crib Point, Victoria",,6532062.202,653.2062202,14059.51901
Bayswater North,8789,205410002,Q4874857,"en:Bayswater North, Victoria",,6562367.748,656.2367748,13899.5302
West Melbourne,5515,205410013,Q12010545,"en:West Melbourne, Victoria",,6565533.177,656.5533177,13365.30563
Bend of Islands,,205410016,Q4887006,"en:Bend of Islands, Victoria",,6626011.734,662.6011734,23458.92967
Mitcham,16148,205410000,Q6881034,"en:Mitcham, Victoria",,6630143.955,663.0143955,11464.25064
Sherbrooke,,205410001,Q7494745,"en:Sherbrooke, Victoria",,6635769.479,663.5769479,13038.96295
Oakleigh South,9261,205409999,Q7074118,"en:Oakleigh South, Victoria",,6642387.11,664.238711,12071.26389
Selby,1652,205410006,Q7447542,"en:Selby, Victoria",,6661965.163,666.1965163,15364.64414
